Country,Region,Date,new_Cases,new_Deaths,Period,IsoCode
Mexico,Baja California,2020-04-30,3037,646,2020_Q1,MX-BCN
Mexico,Baja California,2020-08-30,15966,3229,2020_Q2,MX-BCN
Mexico,Baja California,2020-12-31,19418,2783,2020_Q3,MX-BCN
Mexico,Baja California,2021-04-30,10059,1954,2021_Q1,MX-BCN
Mexico,Baja California Sur,2020-08-30,8070,456,2020_Q2,MX-BCS
Mexico,Baja California Sur,2020-12-31,10410,387,2020_Q3,MX-BCS
Mexico,Baja California Sur,2021-04-30,12063,559,2021_Q1,MX-BCS
Mexico,Campeche,2020-08-30,6073,928,2020_Q2,MX-CAM
Mexico,Campeche,2020-12-31,1563,121,2020_Q3,MX-CAM
Mexico,Campeche,2021-04-30,2064,176,2021_Q1,MX-CAM
Mexico,Chiapas,2020-08-30,7083,1236,2020_Q2,MX-CHP
Mexico,Chiapas,2020-12-31,1525,90,2020_Q3,MX-CHP
Mexico,Chiapas,2021-04-30,2547,304,2021_Q1,MX-CHP
Mexico,Chihuahua,2020-04-30,1401,319,2020_Q1,MX-CHH
Mexico,Chihuahua,2020-08-30,10131,1431,2020_Q2,MX-CHH
Mexico,Chihuahua,2020-12-31,28667,4004,2020_Q3,MX-CHH
Mexico,Chihuahua,2021-04-30,14720,1526,2021_Q1,MX-CHH
Mexico,Ciudad de Mexico,2020-04-30,11749,1175,2020_Q1,MX-CMX
Mexico,Ciudad de Mexico,2020-08-30,103328,10381,2020_Q2,MX-CMX
Mexico,Ciudad de Mexico,2020-12-31,257024,9218,2020_Q3,MX-CMX
Mexico,Ciudad de Mexico,2021-04-30,277526,13540,2021_Q1,MX-CMX
Mexico,Coahuila de Zaragoza,2020-04-30,587,57,2020_Q1,MX-COA
Mexico,Coahuila de Zaragoza,2020-08-30,23201,1622,2020_Q2,MX-COA
Mexico,Coahuila de Zaragoza,2020-12-31,30178,3025,2020_Q3,MX-COA
Mexico,Coahuila de Zaragoza,2021-04-30,14376,1719,2021_Q1,MX-COA
Mexico,Colima,2020-08-30,4083,423,2020_Q2,MX-COL
Mexico,Colima,2020-12-31,4070,397,2020_Q3,MX-COL
Mexico,Colima,2021-04-30,3251,366,2021_Q1,MX-COL
Mexico,Durango,2020-08-30,7220,527,2020_Q2,MX-DUR
Mexico,Durango,2020-12-31,19424,1277,2020_Q3,MX-DUR
Mexico,Durango,2021-04-30,7074,649,2021_Q1,MX-DUR
Mexico,Guanajuato,2020-08-30,35028,2823,2020_Q2,MX-GUA
Mexico,Guanajuato,2020-12-31,53420,3292,2020_Q3,MX-GUA
Mexico,Guanajuato,2021-04-30,42779,4913,2021_Q1,MX-GUA
