"","state","state_iso","date","dts","bsn","exposure","excess","pscore"
"168","Alagoas","AL",2021-05-02,512,390.982346345927,65970.6366740614,121.017653654073,1.30952204053479
"169","Alagoas","AL",2021-05-09,479,394.096769667701,65975.206217104,84.9032303322992,1.21543751907403
"170","Alagoas","AL",2021-05-16,511,396.769477235921,65979.7709041704,114.230522764079,1.28790148768464
"171","Alagoas","AL",2021-05-23,576,399.253515796201,65984.3308353503,176.746484203799,1.4426923676585
"172","Alagoas","AL",2021-05-30,584,401.809144932836,65988.8861107337,182.190855067164,1.45342635269692
"173","Alagoas","AL",2021-06-06,548,404.702522767218,65993.4368304103,143.297477232782,1.35408100807715
"174","Alagoas","AL",2021-06-13,538,408.007471923497,65997.98309447,129.992528076503,1.31860330268872
"175","Alagoas","AL",2021-06-20,546,411.349956698306,66002.5250030027,134.650043301694,1.32733695752021
"176","Alagoas","AL",2021-06-27,493,414.282454562556,66007.0626560981,78.7175454374442,1.19000936334744
"177","Alagoas","AL",2021-07-04,549,416.345602184332,66011.5961538462,132.654397815668,1.31861606588302
"178","Alagoas","AL",2021-07-11,471,417.075221721366,66016.1255910137,53.9247782786342,1.12929269222965
"179","Alagoas","AL",2021-07-18,472,416.150903254524,66020.6510410762,55.8490967454762,1.13420395416352
"180","Alagoas","AL",2021-07-25,497,413.815052901482,66025.1725721859,83.184947098518,1.20101962583348
"181","Alagoas","AL",2021-08-01,450,410.455548833258,66029.6902524954,39.5444511667416,1.0963428348798
"182","Alagoas","AL",2021-08-08,438,406.458111322996,66034.204150157,31.5418886770036,1.07760181873191
"183","Alagoas","AL",2021-08-15,437,402.198724185325,66038.7143333232,34.8012758146752,1.08652756391798
"184","Alagoas","AL",2021-08-22,401,398.005011275204,66043.2208701464,2.9949887247962,1.00752500255009
"185","Alagoas","AL",2021-08-29,427,393.938618757168,66047.7238287791,33.0613812428318,1.08392520983887
"186","Alagoas","AL",2021-09-05,398,389.946580184444,66052.2232773736,8.05341981555557,1.02065262326893
"187","Alagoas","AL",2021-09-12,353,385.977510378584,66056.7192840825,-32.9775103785844,0.914561057336635
