"","dpto","date","isoweek","dts","bsn","exposure","excess","pscore"
"204","Arauca",2020-07-12,"2020-W28-7",25.1226583407672,23.1887804786764,5661.58117362604,1.08339713525984,1.08339713525984
"205","Arauca",2020-07-19,"2020-W29-7",27.0812363238512,23.1578675329208,5665.29552803829,1.16941839680847,1.16941839680847
"206","Arauca",2020-07-26,"2020-W30-7",23.0985842317184,23.2920952625111,5668.95149525761,0.991691986976192,0.991691986976192
"207","Arauca",2020-08-02,"2020-W31-7",28.1285519295198,23.6204027757964,5672.54981499717,1.19085826759664,1.19085826759664
"208","Arauca",2020-08-09,"2020-W32-7",28.0995050133266,24.1776564194049,5676.09122697012,1.16220962552739,1.16220962552739
"209","Arauca",2020-08-16,"2020-W33-7",39.0969387755102,24.9914669835568,5679.57647088964,1.56441151698835,1.56441151698835
"210","Arauca",2020-08-23,"2020-W34-7",23.0804420817012,25.9762079838145,5683.00628646888,0.888522377711262,0.888522377711262
"211","Arauca",2020-08-30,"2020-W35-7",25.088287227781,26.977686015833,5686.38141342101,0.929964386606654,0.929964386606654
"212","Arauca",2020-09-06,"2020-W36-7",37.1577584894168,27.8171566002705,5689.7025914592,1.33578564564918,1.33578564564918
"213","Arauca",2020-09-13,"2020-W37-7",34.1708274454388,28.2965852212464,5692.9705602966,1.20759544582015,1.20759544582015
"214","Arauca",2020-09-20,"2020-W38-7",37.243733933162,28.2297099433117,5696.18605964638,1.31930983378687,1.31930983378687
"215","Arauca",2020-09-27,"2020-W39-7",41.1800292730525,27.6512927748803,5699.3498292217,1.48926235052787,1.48926235052787
"216","Arauca",2020-10-04,"2020-W40-7",24.1199600133289,26.766573317019,5702.46260873573,0.90112244580791,0.90112244580791
"217","Arauca",2020-10-11,"2020-W41-7",48.2182526794414,25.77688565927,5705.52513790163,1.87060040211262,1.87060040211262
